status_id,status_message,link_name,status_type,status_link,status_published
1650072591927879_1704768583124946,i found a cool guitar on kijiji(canadian craigslist) that's in another city and Im going to drive there and buy it wml,,status,,2016-04-17 12:58:34
1650072591927879_1704497889818682,someone unliked because of the corpse pics,,status,,2016-04-16 19:31:39
1650072591927879_1704468803154924,Police are just takin him away cya l8r planker man,,status,,2016-04-16 18:01:27
1650072591927879_1704468669821604,"pics of that potential corpse I got to get really close to today, the dream.",Photos from Dru6s's post,photo,https://www.facebook.com/Dru6s/photos/a.1704468673154937.1073741829.1650072591927879/1704468583154946/?type=3,2016-04-16 18:01:14
1650072591927879_1704468153154989,holy shit I got to see a corpse today fuck yea,,status,,2016-04-16 17:59:35
1650072591927879_1704457876489350,"so it turns out that planking dude was full passed out, nice. or dead w/e",,status,,2016-04-16 17:35:33
1650072591927879_1704457763156028,"just walked past some dude planking on the sidewalk outside my work, what a fucking loser",,status,,2016-04-16 17:34:46
1650072591927879_1704223376512800,the only pubes I can grow are inside my body,,status,,2016-04-16 02:35:52
1650072591927879_1704113079857163,I've legit cried watching undergrads why does being young and dumb make me so sad and helpless,,status,,2016-04-15 18:32:09
1650072591927879_1703842533217551,He got it,Absolution,link,https://www.facebook.com/LikeAbsolution/posts/1709005662645407,2016-04-15 01:31:03
1650072591927879_1703064556628682,"I want to record. finding that post put me in an oddly rare creative mood, but I need to sleep because I work in the AM... Is this what hell is like?",,status,,2016-04-13 04:23:33
1650072591927879_1703062626628875,koda is mad at me im so sorry,,status,,2016-04-13 04:09:20
1650072591927879_1703062549962216,"someone wrote a piece about that song I have up, that;s cool! 
just waiting for it to be posted so I can share",,status,,2016-04-13 04:08:56
1650072591927879_1703060226629115,I just want to p;lay that sonic room mate VR game it looks neat,,status,,2016-04-13 03:53:23
1650072591927879_1703060189962452,the most advanced home computer known to man is less expensive thn the one I bought from best buy and it's not even VR ready.... WOW i'm dumb as hell,,status,,2016-04-13 03:52:59
1650072591927879_1703059863295818,im going to make a grindr account to hit on people at the airport again,,status,,2016-04-13 03:51:28
1650072591927879_1703059483295856,bake my anal cake into a beautiful steam punk nightmare,,status,,2016-04-13 03:49:29
1650072591927879_1703059436629194,trigger warning: flaccid erection,,status,,2016-04-13 03:49:07
1650072591927879_1703059403295864,but damn those erections are fucking terrifying get the FUCK out of here with that GARBAGE god damnt NO ONE WANTS TO SEE THAT,,status,,2016-04-13 03:48:55
1650072591927879_1703059286629209,flaccid dicks are kinda cute tbh no homo tho,,status,,2016-04-13 03:47:56
1650072591927879_1703058963295908,see that monster cock on the television and tell me you cant keep it contained,,status,,2016-04-13 03:47:12
1650072591927879_1703058803295924,"flaccid dicks are sweet, it's like... cool you got one too nice job",,status,,2016-04-13 03:46:49
1650072591927879_1703058559962615,"seeing a flaccid dick is like not seeing a dick at all, it's cool but like... not all it's capable of wait till u see that puppy at 9am oh boy",,status,,2016-04-13 03:46:14
1650072591927879_1703058299962641,nice dick dude,,status,,2016-04-13 03:44:49
1650072591927879_1703058246629313,(y),,status,,2016-04-13 03:44:35
1650072591927879_1703058169962654,quickly evade goodbye,,status,,2016-04-13 03:44:26
1650072591927879_1703051956629942,everyones a pussy fuck you dude,,status,,2016-04-13 03:10:26
1650072591927879_1702932326641905,swingin the chain,,status,,2016-04-12 17:06:51
1650072591927879_1702686913333113,I just found a tiny black bug on my leg am I being infested???,,status,,2016-04-12 03:25:13
1650072591927879_1702665436668594,naturally dumb as hell,,status,,2016-04-12 01:23:57
1650072591927879_1702627413339063,crêpe me,,status,,2016-04-11 22:43:55
1650072591927879_1701972870071184,No thank you is my kind of twink,,status,,2016-04-10 03:23:49
1650072591927879_1701287420139729,fuck me spooky,,status,,2016-04-08 04:06:14
1650072591927879_1701287403473064,I'm into spooky,,status,,2016-04-08 04:06:08
1650072591927879_1701287346806403,I'd be more into you if you were spookier,,status,,2016-04-08 04:06:01
1650072591927879_1701286943473110,mouthwash is for sinners,,status,,2016-04-08 04:03:54
1650072591927879_1701286920139779,shave me raw,,status,,2016-04-08 04:03:40
1650072591927879_1701286863473118,testicular handjob,,status,,2016-04-08 04:03:29
1650072591927879_1701286646806473,please stop them from hurting me and throwing me behind bars,,status,,2016-04-08 04:02:46
1650072591927879_1701286606806477,bring on the anal torture machine I can take it,,status,,2016-04-08 04:02:28
1650072591927879_1701286426806495,wwhy shrek is piss. why shrek is piss #italiano,,status,,2016-04-08 04:00:51
1650072591927879_1701286270139844,think I'll get arrested for illegal possession of Dru6s? #killmyself,,status,,2016-04-08 04:00:09
1650072591927879_1701286190139852,fuck now the dude that has my wallet wont pick up my calls. who the FUCK does this police officer think he is???,,status,,2016-04-08 03:59:32
1650072591927879_1701286130139858,"I called the police, they said they have my wallet COOL????",,status,,2016-04-08 03:59:01
1650072591927879_1701286093473195,but after we win the shitty house situation... I lose my wallet. nice job planet. keep me at 0,,status,,2016-04-08 03:58:42
1650072591927879_1701285986806539,"we got rid of that really shitty room mate I hated, so that's cool.
and I didnt pay him for utilities and we also kept the rest of the furniture he was trying to sell on us (livingroom tv and sofa) 

so that's a win.",,status,,2016-04-08 03:58:02
1650072591927879_1701285610139910,"nothing worth talking about happens, and I'm too much stuck in a cycle of hell to want to talk about nothing.",,status,,2016-04-08 03:56:12
1650072591927879_1701115186823619,"well, i lost my wallet sometime within the past 2 days... good thing I dont have a single piece of ID that wasn't in there. I almost got scared there for a second (IM FREAKING OUT)",,status,,2016-04-07 15:54:52
1650072591927879_1700806700187801,,The Pigeon Gazette,photo,https://www.facebook.com/ThePigeonGazette/photos/a.1689945827907284.1073741828.1689943917907475/1747020122199854/?type=3,2016-04-06 20:20:36
1650072591927879_1700733606861777,It's pronounced gif come on don't be stupid,,status,,2016-04-06 13:51:41
1650072591927879_1700500166885121,I want to drink a liquid so cold it shatters my teeth,,status,,2016-04-06 01:28:12
1650072591927879_1699791043622700,,Augmentations,photo,https://www.facebook.com/Augmentations1/photos/a.308208649252631.72530.301432736596889/1036642546409234/?type=3,2016-04-04 03:20:08
1650072591927879_1699779850290486,my nipple started to do weird things like there's something inside it and it hurts and I can't do anything about it and it's kinda scary it feels like it's going to explode wtfff,,status,,2016-04-04 02:53:42
1650072591927879_1699663920302079,,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1699663920302079/?type=3,2016-04-03 18:29:44
1650072591927879_1699198170348654,I have been playing miitomo since launch wow I didn't think I'd like playing dress up this much :/,,status,,2016-04-02 14:20:31
1650072591927879_1699192860349185,Does this store carry the lil Wayne rework of moonlight sonata sheet music? I need it for festival.,,status,,2016-04-02 14:09:29
1650072591927879_1698969710371500,Gut me like you just caught me 😉 🐟,,status,,2016-04-01 23:39:08
1650072591927879_1698576647077473,my neighbour sent me this photo he took earlier tonight,Timeline Photos,photo,https://www.facebook.com/Dru6s/photos/a.1650101151925023.1073741828.1650072591927879/1698576647077473/?type=3,2016-04-01 03:37:06
